CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
7XXX,AFRICA,00010,COCOA BEANS,129243260,129243260,0,38694561,56818978,00010,2020-03
0014,PACIFIC RIM COUNTRIES,00010,COCOA BEANS,909300,909300,0,350520,350520,00010,2020-03
5XXX,ASIA,00010,COCOA BEANS,85680,85680,0,12374,12374,00010,2020-03
0017,CAFTA-DR,00010,COCOA BEANS,6119805,6119805,392,2087860,2187860,00010,2020-03
6XXX,AUSTRALIA AND OCEANIA,00010,COCOA BEANS,909300,909300,0,350520,350520,00010,2020-03
0020,USMCA (NAFTA),00010,COCOA BEANS,5940,5940,0,0,0,00010,2020-03
0021,TWENTY LATIN AMERICAN REPUBLICS,00010,COCOA BEANS,24223883,24223883,621,8420794,8646729,00010,2020-03
0022,OECD,00010,COCOA BEANS,57343,57343,0,5411,5411,00010,2020-03
0023,NATO,00010,COCOA BEANS,39884,39884,0,4489,4489,00010,2020-03
0024,LAFTA,00010,COCOA BEANS,18036608,18036608,229,6307014,6432949,00010,2020-03
0025,EURO AREA,00010,COCOA BEANS,39884,39884,0,4489,4489,00010,2020-03
0026,APEC,00010,COCOA BEANS,3052099,3052099,0,1008792,1008792,00010,2020-03
0028,CACM,00010,COCOA BEANS,14440,14440,392,4243,4243,00010,2020-03
2010,MEXICO,00010,COCOA BEANS,5940,5940,0,0,0,00010,2020-03
2050,GUATEMALA,00010,COCOA BEANS,7190,7190,392,1717,1717,00010,2020-03
2190,NICARAGUA,00010,COCOA BEANS,7250,7250,0,2526,2526,00010,2020-03
2230,COSTA RICA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
2450,HAITI,00010,COCOA BEANS,67470,67470,0,25920,25920,00010,2020-03
2470,DOMINICAN REPUBLIC,00010,COCOA BEANS,6105365,6105365,0,2083617,2183617,00010,2020-03
7830,TANZANIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
7880,MADAGASCAR,00010,COCOA BEANS,227720,227720,0,226291,226291,00010,2020-03
2XXX,CENTRAL AMERICA,00010,COCOA BEANS,6187275,6187275,392,2113780,2213780,00010,2020-03
3XXX,SOUTH AMERICA,00010,COCOA BEANS,18030668,18030668,229,6307014,6432949,00010,2020-03
5330,INDIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
5600,INDONESIA,00010,COCOA BEANS,1607113,1607113,0,288400,288400,00010,2020-04
5650,PHILIPPINES,00010,COCOA BEANS,45500,45500,0,13000,13000,00010,2020-04
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,1129200,1129200,0,472440,472440,00010,2020-04
2489,GRENADA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
3010,COLOMBIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-04
3070,VENEZUELA,00010,COCOA BEANS,65652,65652,0,25437,25437,00010,2020-04
3310,ECUADOR,00010,COCOA BEANS,11045592,11045592,0,4204126,4204126,00010,2020-04
3330,PERU,00010,COCOA BEANS,323234,323234,3355,56938,56938,00010,2020-04
